Transaction	Item
9900000984	10002
9900000984	5007
9900000984	6010
9900000984	9006
9900000985	6011
9900000985	8001
9900000985	9005
9900000985	9006
9900000985	6002
9900000985	10002
9900000985	10003
9900000985	6023
9900000985	3022
9900000986	8001
9900000986	8002
9900000986	8003
9900000986	8005
9900000986	8006
9900000986	7002
9900000986	7004
9900000987	6001
9900000987	6002
9900000987	6003
9900000987	6004
9900000987	6007
9900000987	7003
9900000987	7004
9900000988	2001
9900000988	5003
9900000988	5002
9900000988	9001
9900000988	7003
9900000988	9003
9900000988	9004
9900000988	7001
9900000988	7004
9900000989	3001
9900000989	3002
9900000989	3004
9900000989	3007
9900000989	6002
9900000989	6003
9900000989	4002
9900000989	4004
9900000990	1001
9900000991	2005
9900000991	2008
9900000991	9006
9900000991	9005
9900000991	5003
9900000991	5007
9900000992	6001
9900000992	6003
9900000992	4001
9900000992	3001
9900000993	6012
9900000993	6023
9900000993	6024
9900000993	6034
9900000993	6018
9900000994	7001
9900000994	7004
9900000994	7005
9900000994	6023
9900000995	1023
9900000995	1003
9900000995	6034
9900000995	6023
9900000996	4001
9900000996	4006
9900000996	4012
9900000996	7004
9900000996	8002
9900000996	8003
9900000996	8012
9900000997	8001
9900000997	9005
9900000997	9006
9900000997	10001
9900000997	6023
9900000998	3007
9900000998	8004
9900000998	8006
9900000998	6004
9900000999	10001
9900000999	10004
9900000999	3001
9900000999	3004
9900000999	3008
9900000999	4002
9900000999	2004
9900000999	1004
9900001000	5002
9900001000	8003
9900001000	9004
9900001001	6023
9900001001	6034
9900001001	6025
9900001002	6008
9900001002	6007
9900001002	6009
9900001002	6010
9900001002	6012
9900001002	6002
9900001002	6020
9900001003	6024
9900001003	6025
9900001003	6033
9900001003	6011
9900001003	6013
9900001003	6004
9900001004	8001
9900001004	8009
9900001004	8004
9900001004	8012
9900001004	8013
9900001005	2001
9900001005	2004
9900001005	2006
9900001005	2009
9900001005	5001
9900001005	5003
9900001005	5004
9900001006	7005
9900001006	3001
9900001006	6004
9900001007	3001
9900001007	3004
9900001007	6003
9900001007	6013
9900001007	6008
9900001007	7001
9900001008	6001
9900001008	8003
9900001008	8005
9900001008	6034
9900001008	6026
9900001009	4001
9900001009	4005
9900001009	4009
9900001009	6005
9900001010	3012
9900001010	3021
9900001010	7003
9900001010	7005
9900001011	1004
9900001011	1007
9900001011	2004
9900001011	2008
9900001012	7001
9900001012	8003
9900001012	9004
9900001013	7004
9900001013	8004
9900001013	9001
9900001013	4004
9900001014	7001
9900001014	7003
9900001014	7005
9900001014	4001
9900001014	4005
9900001015	7004
9900001015	8005
9900001015	9003
9900001015	5001
9900001015	6005
9900001016	3001
9900001016	4001
9900001016	4002
9900001016	2003
9900001017	1002
9900001017	9003
9900001017	10003
9900001017	4001
9900001018	10002
9900001018	3001
9900001018	3004
9900001018	4004
9900001019	9004
9900001019	9003
9900001019	9005
9900001019	9006
9900001019	8002
9900001019	2001
9900001019	4001
9900001020	9001
9900001020	2003
9900001020	2004
9900001020	2011
9900001021	3001
9900001021	3005
9900001021	4001
9900001021	4012
9900001022	8001
9900001022	8004
9900001022	6003
9900001022	6004
9900001023	5001
9900001023	9003
9900001023	2004
