index  confidence   rules
 1     1.000        ['flour', 'whipped/sour cream', 'root vegetables']=>['whole milk']
 2     0.938        ['cream cheese', 'other vegetables', 'sugar']=>['whole milk']
 3     0.938        ['tropical fruit', 'sausage', 'root vegetables', 'yogurt']=>['whole milk']
 4     0.905        ['red/blush wine', 'liquor']=>['bottled beer']
 5     0.905        ['whipped/sour cream', 'tropical fruit', 'fruit/vegetable juice']=>['other vegetables']
 6     0.900        ['butter', 'whipped/sour cream', 'pip fruit']=>['whole milk']
 7     0.900        ['whipped/sour cream', 'domestic eggs', 'tropical fruit']=>['whole milk']
 8     0.895        ['butter', 'tropical fruit', 'root vegetables', 'yogurt']=>['whole milk']
 9     0.889        ['whipped/sour cream', 'margarine', 'rolls/buns']=>['whole milk']
 10    0.889        ['cream cheese', 'domestic eggs', 'citrus fruit']=>['whole milk']
 11    0.889        ['tropical fruit', 'ham', 'pip fruit']=>['other vegetables']
 12    0.889        ['tropical fruit', 'onions', 'root vegetables']=>['other vegetables']
 13    0.886        ['tropical fruit', 'whole milk', 'citrus fruit', 'root vegetables']=>['other vegetables']
 14    0.882        ['pastry', 'whipped/sour cream', 'citrus fruit']=>['whole milk']
 15    0.882        ['herbs', 'tropical fruit', 'root vegetables']=>['whole milk']
 16    0.882        ['pastry', 'citrus fruit', 'root vegetables']=>['other vegetables']
 17    0.882        ['butter milk', 'yogurt', 'root vegetables']=>['whole milk']
 18    0.882        ['other vegetables', 'tropical fruit', 'beef', 'rolls/buns']=>['whole milk']
 19    0.882        ['frozen vegetables', 'whole milk', 'root vegetables', 'yogurt']=>['other vegetables']
 20    0.882        ['whipped/sour cream', 'frozen vegetables', 'whole milk', 'yogurt']=>['other vegetables']
 21    0.857        ['butter milk', 'pork']=>['other vegetables']
 22    0.850        ['margarine', 'meat']=>['other vegetables']
 23    0.850        ['cream cheese', 'curd', 'root vegetables']=>['other vegetables']
 24    0.850        ['white bread', 'whipped/sour cream', 'tropical fruit']=>['other vegetables']
 25    0.850        ['butter', 'onions', 'root vegetables']=>['whole milk']
 26    0.850        ['tropical fruit', 'root vegetables', 'oil']=>['other vegetables']
 27    0.850        ['whipped/sour cream', 'other vegetables', 'root vegetables', 'pip fruit']=>['whole milk']
 28    0.846        ['butter', 'other vegetables', 'pork']=>['whole milk']
 29    0.842        ['frozen vegetables', 'citrus fruit', 'fruit/vegetable juice']=>['whole milk']
 30    0.842        ['waffles', 'root vegetables', 'rolls/buns']=>['whole milk']
 31    0.842        ['butter', 'whipped/sour cream', 'domestic eggs']=>['whole milk']
 32    0.842        ['newspapers', 'citrus fruit', 'root vegetables']=>['other vegetables']
 33    0.833        ['butter', 'rice']=>['whole milk']
 34    0.833        ['yogurt', 'whole milk', 'rice']=>['other vegetables']
 35    0.833        ['brown bread', 'domestic eggs', 'root vegetables']=>['whole milk']
 36    0.833        ['herbs', 'root vegetables', 'rolls/buns']=>['whole milk']
 37    0.833        ['domestic eggs', 'tropical fruit', 'root vegetables', 'yogurt']=>['whole milk']
 38    0.833        ['other vegetables', 'yogurt', 'root vegetables', 'fruit/vegetable juice']=>['whole milk']
 39    0.826        ['rice', 'yogurt']=>['other vegetables']
 40    0.826        ['herbs', 'shopping bags']=>['other vegetables']
 41    0.824        ['domestic eggs', 'other vegetables', 'curd']=>['whole milk']
 42    0.821        ['herbs', 'tropical fruit']=>['whole milk']
 43    0.821        ['other vegetables', 'yogurt', 'citrus fruit', 'root vegetables']=>['whole milk']
 44    0.818        ['whipped/sour cream', 'curd', 'pip fruit']=>['whole milk']
 45    0.818        ['other vegetables', 'rice', 'root vegetables']=>['whole milk']
 46    0.815        ['yogurt', 'tropical fruit', 'root vegetables', 'rolls/buns']=>['whole milk']
 47    0.810        ['yogurt', 'cereals']=>['whole milk']
 48    0.810        ['bottled beer', 'hamburger meat']=>['whole milk']
 49    0.810        ['butter', 'root vegetables', 'pip fruit']=>['whole milk']
 50    0.810        ['whipped/sour cream', 'waffles', 'rolls/buns']=>['whole milk']
 51    0.810        ['whipped/sour cream', 'long life bakery product', 'yogurt']=>['whole milk']
 52    0.810        ['tropical fruit', 'citrus fruit', 'root vegetables', 'yogurt']=>['other vegetables']
 53    0.806        ['curd', 'hamburger meat']=>['whole milk']
 54    0.800        ['herbs', 'rolls/buns']=>['whole milk']
 55    0.800        ['other vegetables', 'curd', 'hamburger meat']=>['whole milk']
 56    0.800        ['frozen meals', 'tropical fruit', 'yogurt']=>['whole milk']
 57    0.800        ['butter', 'tropical fruit', 'citrus fruit']=>['whole milk']
 58    0.800        ['tropical fruit', 'whole milk', 'grapes']=>['other vegetables']
 59    0.800        ['whipped/sour cream', 'tropical fruit', 'whole milk', 'pip fruit']=>['other vegetables']
 60    0.800        ['yogurt', 'whole milk', 'root vegetables', 'fruit/vegetable juice']=>['other vegetables']
 61    0.793        ['butter', 'curd', 'yogurt']=>['whole milk']
 62    0.793        ['other vegetables', 'yogurt', 'root vegetables', 'pip fruit']=>['whole milk']
 63    0.792        ['brown bread', 'tropical fruit', 'pip fruit']=>['other vegetables']
 64    0.789        ['sliced cheese', 'onions']=>['other vegetables']
 65    0.789        ['tropical fruit', 'rice']=>['whole milk']
 66    0.789        ['whipped/sour cream', 'detergent']=>['whole milk']
 67    0.789        ['other vegetables', 'yogurt', 'rice']=>['whole milk']
 68    0.789        ['butter', 'root vegetables', 'chocolate']=>['whole milk']
 69    0.789        ['yogurt', 'root vegetables', 'oil']=>['whole milk']
 70    0.789        ['butter', 'tropical fruit', 'curd']=>['yogurt']
 71    0.789        ['ham', 'whole milk', 'pip fruit']=>['other vegetables']
 72    0.789        ['soft cheese', 'tropical fruit', 'yogurt']=>['whole milk']
 73    0.789        ['butter', 'yogurt', 'root vegetables']=>['whole milk']
 74    0.789        ['newspapers', 'tropical fruit', 'sausage']=>['whole milk']
 75    0.789        ['brown bread', 'other vegetables', 'beef']=>['whole milk']
 76    0.789        ['tropical fruit', 'yogurt', 'oil']=>['other vegetables']
 77    0.789        ['whipped/sour cream', 'domestic eggs', 'pip fruit']=>['whole milk']
