index  confidence   rules
 1     1.000        ['whipped/sour cream', 'flour', 'root vegetables']=>['whole milk']
 2     0.938        ['other vegetables', 'cream cheese', 'sugar']=>['whole milk']
 3     0.938        ['yogurt', 'tropical fruit', 'sausage', 'root vegetables']=>['whole milk']
 4     0.905        ['red/blush wine', 'liquor']=>['bottled beer']
 5     0.905        ['fruit/vegetable juice', 'tropical fruit', 'whipped/sour cream']=>['other vegetables']
 6     0.900        ['pip fruit', 'whipped/sour cream', 'butter']=>['whole milk']
 7     0.900        ['domestic eggs', 'tropical fruit', 'whipped/sour cream']=>['whole milk']
 8     0.895        ['yogurt', 'tropical fruit', 'butter', 'root vegetables']=>['whole milk']
 9     0.889        ['margarine', 'whipped/sour cream', 'rolls/buns']=>['whole milk']
 10    0.889        ['onions', 'tropical fruit', 'root vegetables']=>['other vegetables']
 11    0.889        ['pip fruit', 'tropical fruit', 'ham']=>['other vegetables']
 12    0.889        ['domestic eggs', 'citrus fruit', 'cream cheese']=>['whole milk']
 13    0.886        ['citrus fruit', 'tropical fruit', 'root vegetables', 'whole milk']=>['other vegetables']
 14    0.882        ['pastry', 'citrus fruit', 'root vegetables']=>['other vegetables']
 15    0.882        ['pastry', 'whipped/sour cream', 'citrus fruit']=>['whole milk']
 16    0.882        ['yogurt', 'root vegetables', 'butter milk']=>['whole milk']
 17    0.882        ['tropical fruit', 'herbs', 'root vegetables']=>['whole milk']
 18    0.882        ['whole milk', 'yogurt', 'frozen vegetables', 'root vegetables']=>['other vegetables']
 19    0.882        ['yogurt', 'whole milk', 'whipped/sour cream', 'frozen vegetables']=>['other vegetables']
 20    0.882        ['other vegetables', 'tropical fruit', 'rolls/buns', 'beef']=>['whole milk']
 21    0.857        ['pork', 'butter milk']=>['other vegetables']
 22    0.850        ['margarine', 'meat']=>['other vegetables']
 23    0.850        ['tropical fruit', 'root vegetables', 'oil']=>['other vegetables']
 24    0.850        ['white bread', 'tropical fruit', 'whipped/sour cream']=>['other vegetables']
 25    0.850        ['onions', 'butter', 'root vegetables']=>['whole milk']
 26    0.850        ['cream cheese', 'root vegetables', 'curd']=>['other vegetables']
 27    0.850        ['pip fruit', 'whipped/sour cream', 'other vegetables', 'root vegetables']=>['whole milk']
 28    0.846        ['other vegetables', 'butter', 'pork']=>['whole milk']
 29    0.842        ['fruit/vegetable juice', 'citrus fruit', 'frozen vegetables']=>['whole milk']
 30    0.842        ['citrus fruit', 'newspapers', 'root vegetables']=>['other vegetables']
 31    0.842        ['waffles', 'rolls/buns', 'root vegetables']=>['whole milk']
 32    0.842        ['domestic eggs', 'whipped/sour cream', 'butter']=>['whole milk']
 33    0.833        ['rice', 'butter']=>['whole milk']
 34    0.833        ['herbs', 'rolls/buns', 'root vegetables']=>['whole milk']
 35    0.833        ['yogurt', 'rice', 'whole milk']=>['other vegetables']
 36    0.833        ['brown bread', 'root vegetables', 'domestic eggs']=>['whole milk']
 37    0.833        ['fruit/vegetable juice', 'yogurt', 'other vegetables', 'root vegetables']=>['whole milk']
 38    0.833        ['domestic eggs', 'tropical fruit', 'root vegetables', 'yogurt']=>['whole milk']
 39    0.826        ['herbs', 'shopping bags']=>['other vegetables']
 40    0.826        ['yogurt', 'rice']=>['other vegetables']
 41    0.824        ['domestic eggs', 'other vegetables', 'curd']=>['whole milk']
 42    0.821        ['tropical fruit', 'herbs']=>['whole milk']
 43    0.821        ['other vegetables', 'citrus fruit', 'yogurt', 'root vegetables']=>['whole milk']
 44    0.818        ['pip fruit', 'whipped/sour cream', 'curd']=>['whole milk']
 45    0.818        ['other vegetables', 'rice', 'root vegetables']=>['whole milk']
 46    0.815        ['yogurt', 'tropical fruit', 'rolls/buns', 'root vegetables']=>['whole milk']
 47    0.810        ['yogurt', 'cereals']=>['whole milk']
 48    0.810        ['bottled beer', 'hamburger meat']=>['whole milk']
 49    0.810        ['yogurt', 'whipped/sour cream', 'long life bakery product']=>['whole milk']
 50    0.810        ['waffles', 'whipped/sour cream', 'rolls/buns']=>['whole milk']
 51    0.810        ['pip fruit', 'butter', 'root vegetables']=>['whole milk']
 52    0.810        ['yogurt', 'citrus fruit', 'tropical fruit', 'root vegetables']=>['other vegetables']
 53    0.806        ['hamburger meat', 'curd']=>['whole milk']
 54    0.800        ['herbs', 'rolls/buns']=>['whole milk']
 55    0.800        ['other vegetables', 'hamburger meat', 'curd']=>['whole milk']
 56    0.800        ['grapes', 'tropical fruit', 'whole milk']=>['other vegetables']
 57    0.800        ['citrus fruit', 'tropical fruit', 'butter']=>['whole milk']
 58    0.800        ['tropical fruit', 'yogurt', 'frozen meals']=>['whole milk']
 59    0.800        ['pip fruit', 'tropical fruit', 'whipped/sour cream', 'whole milk']=>['other vegetables']
 60    0.800        ['fruit/vegetable juice', 'yogurt', 'root vegetables', 'whole milk']=>['other vegetables']
 61    0.793        ['yogurt', 'butter', 'curd']=>['whole milk']
 62    0.793        ['pip fruit', 'yogurt', 'other vegetables', 'root vegetables']=>['whole milk']
 63    0.792        ['pip fruit', 'brown bread', 'tropical fruit']=>['other vegetables']
 64    0.789        ['onions', 'sliced cheese']=>['other vegetables']
 65    0.789        ['rice', 'tropical fruit']=>['whole milk']
 66    0.789        ['whipped/sour cream', 'detergent']=>['whole milk']
 67    0.789        ['brown bread', 'other vegetables', 'beef']=>['whole milk']
 68    0.789        ['soft cheese', 'tropical fruit', 'yogurt']=>['whole milk']
 69    0.789        ['pip fruit', 'domestic eggs', 'whipped/sour cream']=>['whole milk']
 70    0.789        ['other vegetables', 'rice', 'yogurt']=>['whole milk']
 71    0.789        ['tropical fruit', 'butter', 'curd']=>['yogurt']
 72    0.789        ['tropical fruit', 'newspapers', 'sausage']=>['whole milk']
 73    0.789        ['yogurt', 'tropical fruit', 'oil']=>['other vegetables']
 74    0.789        ['pip fruit', 'ham', 'whole milk']=>['other vegetables']
 75    0.789        ['butter', 'chocolate', 'root vegetables']=>['whole milk']
 76    0.789        ['yogurt', 'oil', 'root vegetables']=>['whole milk']
 77    0.789        ['yogurt', 'butter', 'root vegetables']=>['whole milk']
 78    0.789        ['other vegetables', 'yogurt', 'frozen vegetables', 'root vegetables']=>['whole milk']
 79    0.789        ['domestic eggs', 'tropical fruit', 'other vegetables', 'root vegetables']=>['whole milk']
 80    0.789        ['pastry', 'tropical fruit', 'rolls/buns', 'whole milk']=>['yogurt']
 81    0.786        ['citrus fruit', 'tropical fruit', 'root vegetables']=>['other vegetables']
 82    0.783        ['rice', 'yogurt']=>['whole milk']
 83    0.783        ['soft cheese', 'whole milk', 'root vegetables']=>['other vegetables']
 84    0.783        ['chicken', 'tropical fruit', 'root vegetables']=>['other vegetables']
 85    0.783        ['domestic eggs', 'root vegetables', 'curd']=>['whole milk']
 86    0.783        ['onions', 'citrus fruit', 'whole milk']=>['other vegetables']
 87    0.783        ['domestic eggs', 'tropical fruit', 'butter']=>['whole milk']
 88    0.783        ['domestic eggs', 'citrus fruit', 'tropical fruit']=>['whole milk']
 89    0.783        ['other vegetables', 'butter', 'hygiene articles']=>['whole milk']
 90    0.783        ['domestic eggs', 'other vegetables', 'sugar']=>['whole milk']
 91    0.783        ['onions', 'other vegetables', 'butter']=>['whole milk']
 92    0.781        ['fruit/vegetable juice', 'tropical fruit', 'root vegetables']=>['other vegetables']
 93    0.778        ['tropical fruit', 'rolls/buns', 'beef']=>['whole milk']
 94    0.778        ['onions', 'whipped/sour cream', 'whole milk']=>['other vegetables']
 95    0.775        ['brown bread', 'other vegetables', 'root vegetables']=>['whole milk']
 96    0.774        ['rice', 'root vegetables']=>['whole milk']
 97    0.774        ['whole milk', 'root vegetables', 'sliced cheese']=>['other vegetables']
 98    0.774        ['pip fruit', 'tropical fruit', 'root vegetables', 'whole milk']=>['other vegetables']
 99    0.774        ['other vegetables', 'citrus fruit', 'tropical fruit', 'yogurt']=>['whole milk']
 100   0.773        ['hard cheese', 'yogurt', 'root vegetables']=>['whole milk']
 101   0.773        ['butter', 'sausage', 'root vegetables']=>['whole milk']
 102   0.773        ['domestic eggs', 'tropical fruit', 'bottled water']=>['whole milk']
 103   0.773        ['other vegetables', 'bottled beer', 'butter']=>['whole milk']
 104   0.773        ['butter', 'rolls/buns', 'beef']=>['whole milk']
 105   0.773        ['domestic eggs', 'tropical fruit', 'curd']=>['whole milk']
 106   0.773        ['domestic eggs', 'margarine', 'tropical fruit']=>['whole milk']
 107   0.771        ['tropical fruit', 'sausage', 'root vegetables']=>['whole milk']
 108   0.771        ['domestic eggs', 'tropical fruit', 'root vegetables']=>['whole milk']
 109   0.769        ['domestic eggs', 'bottled beer', 'other vegetables']=>['whole milk']
 110   0.769        ['citrus fruit', 'root vegetables', 'frozen vegetables']=>['other vegetables']
 111   0.767        ['tropical fruit', 'butter', 'whipped/sour cream']=>['other vegetables']
 112   0.767        ['tropical fruit', 'frozen vegetables', 'root vegetables']=>['whole milk']
 113   0.767        ['pip fruit', 'whipped/sour cream', 'root vegetables']=>['whole milk']
 114   0.767        ['other vegetables', 'tropical fruit', 'butter', 'yogurt']=>['whole milk']
 115   0.765        ['whipped/sour cream', 'butter', 'root vegetables']=>['whole milk']
 116   0.763        ['whipped/sour cream', 'butter milk']=>['whole milk']
 117   0.762        ['cream cheese', 'yogurt', 'butter']=>['whole milk']
 118   0.762        ['tropical fruit', 'sausage', 'whipped/sour cream']=>['whole milk']
 119   0.762        ['chicken', 'whipped/sour cream', 'rolls/buns']=>['whole milk']
 120   0.762        ['citrus fruit', 'root vegetables', 'oil']=>['other vegetables']
 121   0.762        ['white bread', 'whipped/sour cream', 'yogurt']=>['other vegetables']
 122   0.762        ['tropical fruit', 'butter', 'whipped/sour cream', 'whole milk']=>['other vegetables']
 123   0.762        ['other vegetables', 'citrus fruit', 'tropical fruit', 'whipped/sour cream']=>['whole milk']
 124   0.762        ['other vegetables', 'yogurt', 'butter', 'root vegetables']=>['whole milk']
 125   0.762        ['domestic eggs', 'tropical fruit', 'other vegetables', 'yogurt']=>['whole milk']
 126   0.762        ['other vegetables', 'whipped/sour cream', 'butter', 'root vegetables']=>['whole milk']
 127   0.760        ['turkey', 'root vegetables']=>['other vegetables']
 128   0.760        ['pip fruit', 'sausage', 'root vegetables']=>['whole milk']
 129   0.760        ['pip fruit', 'yogurt', 'cream cheese']=>['whole milk']
 130   0.760        ['yogurt', 'root vegetables', 'frozen vegetables']=>['other vegetables']
 131   0.760        ['whole milk', 'tropical fruit', 'root vegetables', 'beef']=>['other vegetables']
 132   0.759        ['domestic eggs', 'yogurt', 'butter']=>['whole milk']
 133   0.758        ['domestic eggs', 'other vegetables', 'beef']=>['whole milk']
 134   0.750        ['ham', 'curd']=>['whole milk']
 135   0.750        ['mustard', 'bottled water']=>['whole milk']
 136   0.750        ['onions', 'butter']=>['whole milk']
 137   0.750        ['herbs', 'curd']=>['whole milk']
 138   0.750        ['soft cheese', 'other vegetables', 'root vegetables']=>['whole milk']
 139   0.750        ['domestic eggs', 'citrus fruit', 'root vegetables']=>['other vegetables']
 140   0.750        ['other vegetables', 'hamburger meat', 'pork']=>['whole milk']
 141   0.750        ['white bread', 'tropical fruit', 'root vegetables']=>['whole milk']
 142   0.750        ['pip fruit', 'whipped/sour cream', 'butter']=>['other vegetables']
 143   0.750        ['yogurt', 'waffles', 'root vegetables']=>['whole milk']
 144   0.750        ['butter', 'root vegetables', 'curd']=>['whole milk']
 145   0.750        ['yogurt', 'tropical fruit', 'curd']=>['whole milk']
 146   0.750        ['fruit/vegetable juice', 'pork', 'root vegetables']=>['other vegetables']
 147   0.750        ['root vegetables', 'processed cheese', 'whole milk']=>['other vegetables']
 148   0.750        ['onions', 'butter', 'root vegetables']=>['other vegetables']
 149   0.750        ['cream cheese', 'whole milk', 'sugar']=>['other vegetables']
 150   0.750        ['tropical fruit', 'oil', 'root vegetables']=>['whole milk']
 151   0.750        ['napkins', 'butter', 'root vegetables']=>['whole milk']
 152   0.750        ['other vegetables', 'yogurt', 'hygiene articles']=>['whole milk']
 153   0.750        ['tropical fruit', 'root vegetables', 'sliced cheese']=>['other vegetables']
 154   0.750        ['domestic eggs', 'chicken', 'root vegetables']=>['whole milk']
 155   0.750        ['domestic eggs', 'butter', 'root vegetables']=>['whole milk']
 156   0.750        ['yogurt', 'rolls/buns', 'long life bakery product']=>['whole milk']
 157   0.750        ['other vegetables', 'napkins', 'butter']=>['whole milk']
 158   0.750        ['whole milk', 'rice', 'root vegetables']=>['other vegetables']
 159   0.750        ['citrus fruit', 'whipped/sour cream', 'root vegetables', 'whole milk']=>['other vegetables']
 160   0.750        ['pip fruit', 'tropical fruit', 'root vegetables', 'yogurt']=>['whole milk']
 161   0.742        ['citrus fruit', 'tropical fruit', 'whipped/sour cream']=>['whole milk']
