index  confidence   rules
 1     0.886        ['citrus fruit', 'tropical fruit', 'root vegetables', 'whole milk']=>['other vegetables']
 2     0.824        ['domestic eggs', 'curd', 'other vegetables']=>['whole milk']
 3     0.806        ['hamburger meat', 'curd']=>['whole milk']
 4     0.789        ['butter', 'yogurt', 'root vegetables']=>['whole milk']
 5     0.786        ['citrus fruit', 'tropical fruit', 'root vegetables']=>['other vegetables']
 6     0.781        ['fruit/vegetable juice', 'tropical fruit', 'root vegetables']=>['other vegetables']
 7     0.775        ['other vegetables', 'brown bread', 'root vegetables']=>['whole milk']
 8     0.771        ['domestic eggs', 'tropical fruit', 'root vegetables']=>['whole milk']
 9     0.771        ['tropical fruit', 'root vegetables', 'sausage']=>['whole milk']
 10    0.765        ['butter', 'whipped/sour cream', 'root vegetables']=>['whole milk']
 11    0.763        ['whipped/sour cream', 'butter milk']=>['whole milk']
 12    0.758        ['domestic eggs', 'beef', 'other vegetables']=>['whole milk']
 13    0.750        ['butter', 'onions']=>['whole milk']
 14    0.750        ['yogurt', 'tropical fruit', 'curd']=>['whole milk']
 15    0.735        ['fruit/vegetable juice', 'yogurt', 'root vegetables']=>['whole milk']
 16    0.735        ['rolls/buns', 'yogurt', 'curd']=>['whole milk']
 17    0.734        ['domestic eggs', 'curd']=>['whole milk']
 18    0.733        ['whipped/sour cream', 'tropical fruit', 'root vegetables']=>['other vegetables']
 19    0.733        ['butter', 'yogurt', 'tropical fruit']=>['whole milk']
 20    0.730        ['beef', 'tropical fruit', 'root vegetables']=>['other vegetables']
 21    0.730        ['whipped/sour cream', 'tropical fruit', 'pip fruit']=>['other vegetables']
 22    0.722        ['long life bakery product', 'yogurt', 'other vegetables']=>['whole milk']
 23    0.722        ['other vegetables', 'butter', 'bottled water']=>['whole milk']
 24    0.722        ['other vegetables', 'bottled beer', 'yogurt']=>['whole milk']
 25    0.716        ['butter', 'curd']=>['whole milk']
 26    0.714        ['domestic eggs', 'sugar']=>['whole milk']
 27    0.714        ['baking powder', 'root vegetables']=>['other vegetables']
 28    0.714        ['other vegetables', 'yogurt', 'tropical fruit', 'root vegetables']=>['whole milk']
 29    0.711        ['baking powder', 'yogurt']=>['whole milk']
 30    0.711        ['sliced cheese', 'whipped/sour cream']=>['whole milk']
 31    0.705        ['whipped/sour cream', 'yogurt', 'tropical fruit']=>['whole milk']
 32    0.705        ['other vegetables', 'citrus fruit', 'tropical fruit', 'root vegetables']=>['whole milk']
 33    0.704        ['butter', 'pork']=>['whole milk']
 34    0.702        ['butter', 'coffee']=>['whole milk']
 35    0.700        ['domestic eggs', 'whipped/sour cream', 'other vegetables']=>['whole milk']
 36    0.700        ['yogurt', 'tropical fruit', 'root vegetables']=>['whole milk']
