index  confidence   rules
 1     0.886        ['root vegetables', 'citrus fruit', 'whole milk', 'tropical fruit']=>['other vegetables']
 2     0.824        ['domestic eggs', 'other vegetables', 'curd']=>['whole milk']
 3     0.806        ['hamburger meat', 'curd']=>['whole milk']
 4     0.789        ['yogurt', 'butter', 'root vegetables']=>['whole milk']
 5     0.786        ['root vegetables', 'citrus fruit', 'tropical fruit']=>['other vegetables']
 6     0.781        ['root vegetables', 'fruit/vegetable juice', 'tropical fruit']=>['other vegetables']
 7     0.775        ['root vegetables', 'other vegetables', 'brown bread']=>['whole milk']
 8     0.771        ['root vegetables', 'sausage', 'tropical fruit']=>['whole milk']
 9     0.771        ['domestic eggs', 'root vegetables', 'tropical fruit']=>['whole milk']
 10    0.765        ['root vegetables', 'whipped/sour cream', 'butter']=>['whole milk']
 11    0.763        ['whipped/sour cream', 'butter milk']=>['whole milk']
 12    0.758        ['domestic eggs', 'beef', 'other vegetables']=>['whole milk']
 13    0.750        ['onions', 'butter']=>['whole milk']
 14    0.750        ['yogurt', 'curd', 'tropical fruit']=>['whole milk']
 15    0.735        ['yogurt', 'fruit/vegetable juice', 'root vegetables']=>['whole milk']
 16    0.735        ['yogurt', 'curd', 'rolls/buns']=>['whole milk']
 17    0.734        ['domestic eggs', 'curd']=>['whole milk']
 18    0.733        ['yogurt', 'butter', 'tropical fruit']=>['whole milk']
 19    0.733        ['root vegetables', 'whipped/sour cream', 'tropical fruit']=>['other vegetables']
 20    0.730        ['beef', 'root vegetables', 'tropical fruit']=>['other vegetables']
 21    0.730        ['whipped/sour cream', 'pip fruit', 'tropical fruit']=>['other vegetables']
 22    0.722        ['butter', 'bottled water', 'other vegetables']=>['whole milk']
 23    0.722        ['yogurt', 'bottled beer', 'other vegetables']=>['whole milk']
 24    0.722        ['long life bakery product', 'yogurt', 'other vegetables']=>['whole milk']
 25    0.716        ['butter', 'curd']=>['whole milk']
 26    0.714        ['domestic eggs', 'sugar']=>['whole milk']
 27    0.714        ['root vegetables', 'baking powder']=>['other vegetables']
 28    0.714        ['yogurt', 'root vegetables', 'other vegetables', 'tropical fruit']=>['whole milk']
 29    0.711        ['yogurt', 'baking powder']=>['whole milk']
 30    0.711        ['whipped/sour cream', 'sliced cheese']=>['whole milk']
 31    0.705        ['yogurt', 'whipped/sour cream', 'tropical fruit']=>['whole milk']
 32    0.705        ['root vegetables', 'citrus fruit', 'other vegetables', 'tropical fruit']=>['whole milk']
 33    0.704        ['pork', 'butter']=>['whole milk']
 34    0.702        ['butter', 'coffee']=>['whole milk']
 35    0.700        ['domestic eggs', 'whipped/sour cream', 'other vegetables']=>['whole milk']
 36    0.700        ['yogurt', 'root vegetables', 'tropical fruit']=>['whole milk']
