index  confidence   rules
 1     1.000        ['flour', 'root vegetables', 'whipped/sour cream']=>['whole milk']
 2     0.938        ['sugar', 'cream cheese', 'other vegetables']=>['whole milk']
 3     0.938        ['tropical fruit', 'sausage', 'yogurt', 'root vegetables']=>['whole milk']
 4     0.905        ['red/blush wine', 'liquor']=>['bottled beer']
 5     0.905        ['tropical fruit', 'fruit/vegetable juice', 'whipped/sour cream']=>['other vegetables']
 6     0.900        ['domestic eggs', 'tropical fruit', 'whipped/sour cream']=>['whole milk']
 7     0.900        ['pip fruit', 'butter', 'whipped/sour cream']=>['whole milk']
 8     0.895        ['tropical fruit', 'butter', 'yogurt', 'root vegetables']=>['whole milk']
 9     0.889        ['pip fruit', 'tropical fruit', 'ham']=>['other vegetables']
 10    0.889        ['tropical fruit', 'onions', 'root vegetables']=>['other vegetables']
 11    0.889        ['domestic eggs', 'citrus fruit', 'cream cheese']=>['whole milk']
 12    0.889        ['rolls/buns', 'margarine', 'whipped/sour cream']=>['whole milk']
 13    0.886        ['tropical fruit', 'root vegetables', 'whole milk', 'citrus fruit']=>['other vegetables']
 14    0.882        ['yogurt', 'root vegetables', 'butter milk']=>['whole milk']
 15    0.882        ['pastry', 'citrus fruit', 'whipped/sour cream']=>['whole milk']
 16    0.882        ['pastry', 'root vegetables', 'citrus fruit']=>['other vegetables']
 17    0.882        ['herbs', 'tropical fruit', 'root vegetables']=>['whole milk']
 18    0.882        ['tropical fruit', 'rolls/buns', 'beef', 'other vegetables']=>['whole milk']
 19    0.882        ['yogurt', 'frozen vegetables', 'whole milk', 'whipped/sour cream']=>['other vegetables']
 20    0.882        ['root vegetables', 'yogurt', 'frozen vegetables', 'whole milk']=>['other vegetables']
 21    0.857        ['pork', 'butter milk']=>['other vegetables']
 22    0.850        ['meat', 'margarine']=>['other vegetables']
 23    0.850        ['curd', 'root vegetables', 'cream cheese']=>['other vegetables']
 24    0.850        ['oil', 'tropical fruit', 'root vegetables']=>['other vegetables']
 25    0.850        ['tropical fruit', 'white bread', 'whipped/sour cream']=>['other vegetables']
 26    0.850        ['onions', 'butter', 'root vegetables']=>['whole milk']
 27    0.850        ['pip fruit', 'other vegetables', 'root vegetables', 'whipped/sour cream']=>['whole milk']
 28    0.846        ['pork', 'butter', 'other vegetables']=>['whole milk']
 29    0.842        ['rolls/buns', 'waffles', 'root vegetables']=>['whole milk']
 30    0.842        ['domestic eggs', 'butter', 'whipped/sour cream']=>['whole milk']
 31    0.842        ['newspapers', 'root vegetables', 'citrus fruit']=>['other vegetables']
 32    0.842        ['frozen vegetables', 'fruit/vegetable juice', 'citrus fruit']=>['whole milk']
 33    0.833        ['rice', 'butter']=>['whole milk']
 34    0.833        ['rice', 'yogurt', 'whole milk']=>['other vegetables']
 35    0.833        ['herbs', 'rolls/buns', 'root vegetables']=>['whole milk']
 36    0.833        ['domestic eggs', 'root vegetables', 'brown bread']=>['whole milk']
 37    0.833        ['other vegetables', 'yogurt', 'root vegetables', 'fruit/vegetable juice']=>['whole milk']
 38    0.833        ['domestic eggs', 'tropical fruit', 'yogurt', 'root vegetables']=>['whole milk']
 39    0.826        ['herbs', 'shopping bags']=>['other vegetables']
 40    0.826        ['rice', 'yogurt']=>['other vegetables']
 41    0.824        ['domestic eggs', 'curd', 'other vegetables']=>['whole milk']
 42    0.821        ['herbs', 'tropical fruit']=>['whole milk']
 43    0.821        ['other vegetables', 'yogurt', 'root vegetables', 'citrus fruit']=>['whole milk']
 44    0.818        ['rice', 'other vegetables', 'root vegetables']=>['whole milk']
 45    0.818        ['pip fruit', 'curd', 'whipped/sour cream']=>['whole milk']
 46    0.815        ['tropical fruit', 'rolls/buns', 'yogurt', 'root vegetables']=>['whole milk']
 47    0.810        ['hamburger meat', 'bottled beer']=>['whole milk']
 48    0.810        ['cereals', 'yogurt']=>['whole milk']
 49    0.810        ['pip fruit', 'butter', 'root vegetables']=>['whole milk']
 50    0.810        ['rolls/buns', 'waffles', 'whipped/sour cream']=>['whole milk']
 51    0.810        ['yogurt', 'long life bakery product', 'whipped/sour cream']=>['whole milk']
 52    0.810        ['tropical fruit', 'yogurt', 'root vegetables', 'citrus fruit']=>['other vegetables']
 53    0.806        ['curd', 'hamburger meat']=>['whole milk']
 54    0.800        ['herbs', 'rolls/buns']=>['whole milk']
 55    0.800        ['tropical fruit', 'grapes', 'whole milk']=>['other vegetables']
 56    0.800        ['curd', 'hamburger meat', 'other vegetables']=>['whole milk']
 57    0.800        ['yogurt', 'tropical fruit', 'frozen meals']=>['whole milk']
 58    0.800        ['tropical fruit', 'butter', 'citrus fruit']=>['whole milk']
 59    0.800        ['whole milk', 'yogurt', 'root vegetables', 'fruit/vegetable juice']=>['other vegetables']
 60    0.800        ['pip fruit', 'tropical fruit', 'whole milk', 'whipped/sour cream']=>['other vegetables']
 61    0.793        ['curd', 'butter', 'yogurt']=>['whole milk']
 62    0.793        ['pip fruit', 'other vegetables', 'yogurt', 'root vegetables']=>['whole milk']
 63    0.792        ['pip fruit', 'tropical fruit', 'brown bread']=>['other vegetables']
 64    0.789        ['detergent', 'whipped/sour cream']=>['whole milk']
 65    0.789        ['sliced cheese', 'onions']=>['other vegetables']
 66    0.789        ['tropical fruit', 'rice']=>['whole milk']
 67    0.789        ['rice', 'other vegetables', 'yogurt']=>['whole milk']
 68    0.789        ['butter', 'yogurt', 'root vegetables']=>['whole milk']
 69    0.789        ['chocolate', 'butter', 'root vegetables']=>['whole milk']
 70    0.789        ['oil', 'yogurt', 'root vegetables']=>['whole milk']
 71    0.789        ['curd', 'tropical fruit', 'butter']=>['yogurt']
 72    0.789        ['tropical fruit', 'yogurt', 'soft cheese']=>['whole milk']
 73    0.789        ['pip fruit', 'ham', 'whole milk']=>['other vegetables']
 74    0.789        ['beef', 'brown bread', 'other vegetables']=>['whole milk']
 75    0.789        ['tropical fruit', 'sausage', 'newspapers']=>['whole milk']
 76    0.789        ['oil', 'tropical fruit', 'yogurt']=>['other vegetables']
 77    0.789        ['domestic eggs', 'pip fruit', 'whipped/sour cream']=>['whole milk']
 78    0.789        ['tropical fruit', 'rolls/buns', 'whole milk', 'pastry']=>['yogurt']
 79    0.789        ['domestic eggs', 'tropical fruit', 'other vegetables', 'root vegetables']=>['whole milk']
 80    0.789        ['other vegetables', 'yogurt', 'frozen vegetables', 'root vegetables']=>['whole milk']
 81    0.786        ['tropical fruit', 'root vegetables', 'citrus fruit']=>['other vegetables']
 82    0.783        ['rice', 'yogurt']=>['whole milk']
 83    0.783        ['domestic eggs', 'curd', 'root vegetables']=>['whole milk']
 84    0.783        ['soft cheese', 'root vegetables', 'whole milk']=>['other vegetables']
 85    0.783        ['domestic eggs', 'tropical fruit', 'butter']=>['whole milk']
 86    0.783        ['onions', 'whole milk', 'citrus fruit']=>['other vegetables']
 87    0.783        ['butter', 'onions', 'other vegetables']=>['whole milk']
 88    0.783        ['domestic eggs', 'sugar', 'other vegetables']=>['whole milk']
 89    0.783        ['butter', 'hygiene articles', 'other vegetables']=>['whole milk']
 90    0.783        ['tropical fruit', 'root vegetables', 'chicken']=>['other vegetables']
 91    0.783        ['domestic eggs', 'tropical fruit', 'citrus fruit']=>['whole milk']
 92    0.781        ['tropical fruit', 'root vegetables', 'fruit/vegetable juice']=>['other vegetables']
 93    0.778        ['onions', 'whole milk', 'whipped/sour cream']=>['other vegetables']
 94    0.778        ['rolls/buns', 'tropical fruit', 'beef']=>['whole milk']
 95    0.775        ['brown bread', 'other vegetables', 'root vegetables']=>['whole milk']
 96    0.774        ['rice', 'root vegetables']=>['whole milk']
 97    0.774        ['sliced cheese', 'root vegetables', 'whole milk']=>['other vegetables']
 98    0.774        ['tropical fruit', 'other vegetables', 'yogurt', 'citrus fruit']=>['whole milk']
 99    0.774        ['pip fruit', 'tropical fruit', 'root vegetables', 'whole milk']=>['other vegetables']
 100   0.773        ['sausage', 'root vegetables', 'butter']=>['whole milk']
 101   0.773        ['rolls/buns', 'beef', 'butter']=>['whole milk']
 102   0.773        ['hard cheese', 'yogurt', 'root vegetables']=>['whole milk']
 103   0.773        ['domestic eggs', 'curd', 'tropical fruit']=>['whole milk']
 104   0.773        ['domestic eggs', 'tropical fruit', 'margarine']=>['whole milk']
 105   0.773        ['butter', 'bottled beer', 'other vegetables']=>['whole milk']
 106   0.773        ['domestic eggs', 'tropical fruit', 'bottled water']=>['whole milk']
 107   0.771        ['domestic eggs', 'tropical fruit', 'root vegetables']=>['whole milk']
 108   0.771        ['tropical fruit', 'sausage', 'root vegetables']=>['whole milk']
 109   0.769        ['domestic eggs', 'other vegetables', 'bottled beer']=>['whole milk']
 110   0.769        ['root vegetables', 'frozen vegetables', 'citrus fruit']=>['other vegetables']
 111   0.767        ['pip fruit', 'root vegetables', 'whipped/sour cream']=>['whole milk']
 112   0.767        ['tropical fruit', 'butter', 'whipped/sour cream']=>['other vegetables']
 113   0.767        ['tropical fruit', 'root vegetables', 'frozen vegetables']=>['whole milk']
 114   0.767        ['tropical fruit', 'other vegetables', 'yogurt', 'butter']=>['whole milk']
 115   0.765        ['butter', 'root vegetables', 'whipped/sour cream']=>['whole milk']
 116   0.763        ['butter milk', 'whipped/sour cream']=>['whole milk']
 117   0.762        ['yogurt', 'white bread', 'whipped/sour cream']=>['other vegetables']
 118   0.762        ['oil', 'root vegetables', 'citrus fruit']=>['other vegetables']
 119   0.762        ['rolls/buns', 'chicken', 'whipped/sour cream']=>['whole milk']
 120   0.762        ['tropical fruit', 'sausage', 'whipped/sour cream']=>['whole milk']
 121   0.762        ['butter', 'yogurt', 'cream cheese']=>['whole milk']
 122   0.762        ['other vegetables', 'yogurt', 'root vegetables', 'butter']=>['whole milk']
 123   0.762        ['other vegetables', 'root vegetables', 'butter', 'whipped/sour cream']=>['whole milk']
 124   0.762        ['domestic eggs', 'tropical fruit', 'other vegetables', 'yogurt']=>['whole milk']
 125   0.762        ['tropical fruit', 'butter', 'whole milk', 'whipped/sour cream']=>['other vegetables']
 126   0.762        ['tropical fruit', 'other vegetables', 'citrus fruit', 'whipped/sour cream']=>['whole milk']
 127   0.760        ['root vegetables', 'turkey']=>['other vegetables']
 128   0.760        ['pip fruit', 'sausage', 'root vegetables']=>['whole milk']
 129   0.760        ['pip fruit', 'yogurt', 'cream cheese']=>['whole milk']
 130   0.760        ['root vegetables', 'yogurt', 'frozen vegetables']=>['other vegetables']
 131   0.760        ['tropical fruit', 'beef', 'root vegetables', 'whole milk']=>['other vegetables']
 132   0.759        ['domestic eggs', 'butter', 'yogurt']=>['whole milk']
 133   0.758        ['domestic eggs', 'beef', 'other vegetables']=>['whole milk']
 134   0.750        ['curd', 'ham']=>['whole milk']
 135   0.750        ['herbs', 'curd']=>['whole milk']
 136   0.750        ['butter', 'onions']=>['whole milk']
 137   0.750        ['bottled water', 'mustard']=>['whole milk']
 138   0.750        ['pip fruit', 'butter', 'whipped/sour cream']=>['other vegetables']
 139   0.750        ['tropical fruit', 'white bread', 'root vegetables']=>['whole milk']
 140   0.750        ['tropical fruit', 'sliced cheese', 'root vegetables']=>['other vegetables']
 141   0.750        ['other vegetables', 'root vegetables', 'soft cheese']=>['whole milk']
 142   0.750        ['pork', 'root vegetables', 'fruit/vegetable juice']=>['other vegetables']
 143   0.750        ['sugar', 'whole milk', 'cream cheese']=>['other vegetables']
 144   0.750        ['oil', 'tropical fruit', 'root vegetables']=>['whole milk']
 145   0.750        ['domestic eggs', 'butter', 'root vegetables']=>['whole milk']
 146   0.750        ['curd', 'butter', 'root vegetables']=>['whole milk']
